,year,total-prec(mm),stnid,total-snow(mm),total-rain(mm),Prov,station's name,lat (deg),long (deg),elev (m),stns joined,mean-temp(celsius)
0,1926,-9999.9,1012573,-10.0,-10.0,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,-9999.9
1,1927,649.0,1012573,68.1,580.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.9
2,1928,340.6,1012573,59.6,281.0,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,1.6
3,1929,213.2,1012573,49.6,163.5,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,0.1
4,1930,478.2,1012573,48.3,429.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,0.8
5,1931,382.0,1012573,0.0,382.0,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.5
6,1932,352.5,1012573,41.2,311.3,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.1
7,1933,300.8,1012573,20.7,280.1,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,1.0
8,1934,784.8,1012573,30.0,754.8,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.0
9,1935,867.8,1012573,113.9,753.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.0
10,1936,532.9,1012573,61.5,471.4,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.5
11,1937,585.8,1012573,116.9,468.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.0
12,1938,570.0,1012573,89.5,480.4,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.1
13,1939,646.1,1012573,23.0,623.2,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.8
14,1940,748.0,1012573,9.2,738.8,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.6
15,1941,584.3,1012573,7.0,577.3,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,4.0
16,1942,427.9,1012573,5.7,422.2,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.5
17,1943,479.2,1012573,95.1,384.1,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.2
18,1944,365.0,1012573,0.0,365.0,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.5
19,1945,372.6,1012573,2.8,369.8,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,2.7
20,1946,553.9,1012573,15.7,538.2,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,3.1
21,1947,600.6,1012573,45.7,554.9,BC,DUNCAN KELVIN CREEK,48.734722222222224,-123.72750027777779,103,Yes,1.8
